"Int_no","Rue_1","Rue_2","Arrondissement","X","Y"
1,"Charlevoix","Notre-Dame","Sud-Ouest",298885.28,5038083.29
2,"Docteur-Penfield","Peel","Ville-Marie",298588.54,5040384.56
3,"Borden","Somerled","Côte-des-Neiges - Notre-Dame-de-Grâce",294064.9,5036578.94
4,"Cavendish","Côte-Saint-Luc","Côte-des-Neiges - Notre-Dame-de-Grâce",293240.69,5036867.49
5,"Cavendish","Fielding","Côte-des-Neiges - Notre-Dame-de-Grâce",293705.38,5036607.52
6,"Cavendish","Monkland","Côte-des-Neiges - Notre-Dame-de-Grâce",294459.19,5036147.22
7,"Cavendish","Somerled","Côte-des-Neiges - Notre-Dame-de-Grâce",293990.38,5036449.02
8,"Cavendish","Terrebonne","Côte-des-Neiges - Notre-Dame-de-Grâce",294224.52,5036321.42
9,"Coronation","Côte-Saint-Luc","Côte-des-Neiges - Notre-Dame-de-Grâce",292805.38,5036240.3
10,"Côte-Saint-Luc","Ellerdale/Fielding","Côte-des-Neiges - Notre-Dame-de-Grâce",294122.34,5037438.12
11,"Côte-Saint-Luc","Grand Boulevard","Côte-des-Neiges - Notre-Dame-de-Grâce",293692.92,5037250.03
12,"Curatteau","Sherbrooke","Mercier - Hochelaga - Maisonneuve",301959.22,5050476
13,"Côte-Saint-Luc","Marcil/Somerled","Côte-des-Neiges - Notre-Dame-de-Grâce",294733.7,5037619.25
14,"Côte-Saint-Luc","Ashdale/Robert-Burns","Côte-des-Neiges - Notre-Dame-de-Grâce",292453.25,5035763.71
15,"Côte-Saint-Luc","Rosedale","Côte-des-Neiges - Notre-Dame-de-Grâce",292960.75,5036471.14
16,"Côte-Saint-Luc","Saint-Ignatius","Côte-des-Neiges - Notre-Dame-de-Grâce",292738.26,5036110.25
17,"Côte-Saint-Luc","Stratford/Wilson","Côte-des-Neiges - Notre-Dame-de-Grâce",294425.62,5037540.5
18,"Côte-Saint-Luc","Walkley","Côte-des-Neiges - Notre-Dame-de-Grâce",293095.66,5036682.86
19,"Côte-Saint-Luc","West Hill","Côte-des-Neiges - Notre-Dame-de-Grâce",293491.24,5037102.25
20,"Draper","Terrebonne","Côte-des-Neiges - Notre-Dame-de-Grâce",294736.07,5037133.62
21,"Fielding","Grand Boulevard","Côte-des-Neiges - Notre-Dame-de-Grâce",293923.16,5037104.07
22,"Grand Boulevard","Monkland","Côte-des-Neiges - Notre-Dame-de-Grâce",294741.1,5036593.1
23,"Grand Boulevard","Somerled","Côte-des-Neiges - Notre-Dame-de-Grâce",294278.24,5036881.77
24,"Grand Boulevard","Terrebonne","Côte-des-Neiges - Notre-Dame-de-Grâce",294498.35,5036742.79
25,"Monkland","Royal","Côte-des-Neiges - Notre-Dame-de-Grâce",294931.98,5036890.78
26,"Monkland","Wilson","Côte-des-Neiges - Notre-Dame-de-Grâce",295079.15,5037116.18
27,"Somerled","Walkley","Côte-des-Neiges - Notre-Dame-de-Grâce",293880.15,5036250.05
28,"Somerled","West Broadway","Côte-des-Neiges - Notre-Dame-de-Grâce",293420.1,5035415.51
29,"Addington","Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",296109.89,5037011.43
30,"Beaconsfield","Saint-Jacques","Côte-des-Neiges - Notre-Dame-de-Grâce",295751.57,5036046.1
31,"Benny","Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",294890.32,5036115.82
32,"Botrel","Côte-Saint-Antoine","Côte-des-Neiges - Notre-Dame-de-Grâce",295867.85,5037259.61
33,"Botrel","Notre-Dame-de-Grâce","Côte-des-Neiges - Notre-Dame-de-Grâce",295708.02,5037364.35
34,"Botrel","Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",296166.44,5037053
35,"Cavendish","Saint-Jacques","Côte-des-Neiges - Notre-Dame-de-Grâce",295086.29,5035736.47
36,"Cavendish","Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",294714.51,5035985.47
37,"Coronation","Monkland/Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",294091.53,5035536.08
38,"Côte-Saint-Antoine","Décarie","Côte-des-Neiges - Notre-Dame-de-Grâce",295944.68,5037381.98
39,"Côte-Saint-Antoine","Girouard","Côte-des-Neiges - Notre-Dame-de-Grâce",295784.48,5037126.03
40,"Côte-Saint-Antoine","Hampton/Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",295376.56,5036481
41,"Côte-Saint-Antoine","Marcil","Côte-des-Neiges - Notre-Dame-de-Grâce",295698.79,5036992.97
42,"Décarie","Maisonneuve / Upper Lachine","Côte-des-Neiges - Notre-Dame-de-Grâce",296534.95,5037001.42
43,"Décarie","Monkland inter. Est","Côte-des-Neiges - Notre-Dame-de-Grâce",295451.72,5037697.5
44,"Décarie","Monkland inter. Ouest","Côte-des-Neiges - Notre-Dame-de-Grâce",295398.72,5037615.5
45,"Décarie","Notre-Dame-de-Grâce","Côte-des-Neiges - Notre-Dame-de-Grâce",295784.25,5037485.7
46,"Décarie","Saint-Jacques","Côte-des-Neiges - Notre-Dame-de-Grâce",296874.7,5036795.12
47,"Décarie","Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",296291.12,5037159.6
48,"Elmhurst","Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",293738.38,5035019.93
49,"Elmhurst","Saint-Jacques","Côte-des-Neiges - Notre-Dame-de-Grâce",294066.94,5034838
50,"Girouard","Monkland","Côte-des-Neiges - Notre-Dame-de-Grâce",295287.25,5037445.34
51,"Girouard","Notre-Dame-de-Grâce","Côte-des-Neiges - Notre-Dame-de-Grâce",295621.01,5037231.26
52,"Girouard","Saint-Jacques","Côte-des-Neiges - Notre-Dame-de-Grâce",296636.99,5036580.53
53,"Girouard","Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",296044.39,5036962.39
54,"Girouard","Upper Lachine","Côte-des-Neiges - Notre-Dame-de-Grâce",296393.44,5036734.33
55,"Grand Boulevard","Notre-Dame-de-Grâce","Côte-des-Neiges - Notre-Dame-de-Grâce",295068.34,5036362.48
56,"Grand Boulevard","Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",295150.98,5036309.93
57,"Madison","Saint-Jacques","Côte-des-Neiges - Notre-Dame-de-Grâce",295524.94,5035913.5
58,"Maisonneuve","Marlowe","Côte-des-Neiges - Notre-Dame-de-Grâce",296627.62,5037110.45
59,"Maisonneuve","Vendôme","Côte-des-Neiges - Notre-Dame-de-Grâce",296677.48,5037171.84
60,"Marcil","Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",295905.5,5036861.13
61,"Melrose","Upper Lachine","Côte-des-Neiges - Notre-Dame-de-Grâce",296067.52,5036393.01
62,"Sainte-Anne-de-Bellevue","Saint-Jacques","Côte-des-Neiges - Notre-Dame-de-Grâce",294500.53,5035081
63,"Angrignon","Notre-Dame","Sud-Ouest",294966.42,5034744.51
64,"Notre-Dame-de-Grâce","Royal","Côte-des-Neiges - Notre-Dame-de-Grâce",295265.08,5036672.03
65,"Arthur-Léveillé","Louis-Hippolyte-La Fontaine","Rivières-des-Prairies - Pointe-aux-Trembles",297048.37,5053182.52
66,"Oxford","Upper Lachine","Côte-des-Neiges - Notre-Dame-de-Grâce",296231.74,5036562.27
67,"Rosedale","Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",294327.5,5035695.92
68,"Saint-Jacques","6900 Saint-Jacques","Côte-des-Neiges - Notre-Dame-de-Grâce",294705.1,5035278.5
69,"Saint-Jacques","West Broadway","Côte-des-Neiges - Notre-Dame-de-Grâce",294302.67,5034936.45
70,"Sherbrooke","Vendôme","Côte-des-Neiges - Notre-Dame-de-Grâce",296432.58,5037331.53
71,"Sherbrooke","7141 Ouest (Univ. Concordia)","Ville-Marie",293928.62,5035315.5
72,"Sherbrooke","West Broadway","Côte-des-Neiges - Notre-Dame-de-Grâce",293833.59,5035187.86
73,"Sherbrooke","West Hill","Côte-des-Neiges - Notre-Dame-de-Grâce",294955.15,5036166.93
74,"Sherbrooke","Wilson","Côte-des-Neiges - Notre-Dame-de-Grâce",295705.93,5036715.54
75,"Chemin-des-Moulins","Irlandais des","Sud-Ouest",301218.01,5038804.35
76,"Décarie","Jockeys des inter. Ouest","Côte-des-Neiges - Notre-Dame-de-Grâce",292773.4,5039407.64
77,"Bourret","Décarie inter. Est","Côte-des-Neiges - Notre-Dame-de-Grâce",293933.6,5038715.5
78,"Bourret","Décarie inter. Ouest","Côte-des-Neiges - Notre-Dame-de-Grâce",293912.66,5038678.5
79,"54 e Avenue","Henri-Bourassa Est","Rivières-des-Prairies - Pointe-aux-Trembles",300318.45,5055713.59
80,"Cedar Crescent","Queen-Mary","Côte-des-Neiges - Notre-Dame-de-Grâce",295234.01,5039045.64
81,"Clanranald","Isabella","Côte-des-Neiges - Notre-Dame-de-Grâce",294274.52,5038077.19
82,"Clanranald","Queen-Mary","Côte-des-Neiges - Notre-Dame-de-Grâce",294525.03,5037913.01
83,"Clanranald","Van Horne","Côte-des-Neiges - Notre-Dame-de-Grâce",293504.76,5038570.22
84,"Clanranald","Vézina","Côte-des-Neiges - Notre-Dame-de-Grâce",293053.77,5038859.54
85,"Coolbrook","Isabella","Côte-des-Neiges - Notre-Dame-de-Grâce",294388.63,5038253.13
86,"Coolbrook","Queen-Mary","Côte-des-Neiges - Notre-Dame-de-Grâce",294640.67,5038091.23
87,"Côte-Sainte-Catherine","Décarie inter. Est","Côte-des-Neiges - Notre-Dame-de-Grâce",294070.38,5038634
88,"Côte-Sainte-Catherine","Décarie inter. Ouest","Côte-des-Neiges - Notre-Dame-de-Grâce",294044.1,5038593.5
89,"Côte-Saint-Luc","5100","Côte-des-Neiges - Notre-Dame-de-Grâce",295374.22,5038073
90,"Côte-Saint-Luc","Décarie inter. Est","Côte-des-Neiges - Notre-Dame-de-Grâce",295218,5037894.42
91,"Côte-Saint-Luc","Décarie inter. Ouest","Côte-des-Neiges - Notre-Dame-de-Grâce",295194.15,5037858.91
92,"Côte-Saint-Luc","Earnscliffe","Côte-des-Neiges - Notre-Dame-de-Grâce",295055.44,5037694.44
93,"Côte-Saint-Luc","Girouard","Côte-des-Neiges - Notre-Dame-de-Grâce",294938.26,5037673.03
94,"Décarie","Edouard-Montpetit inter. Est","Côte-des-Neiges - Notre-Dame-de-Grâce",294307.53,5038484.5
95,"Décarie","Edouard-Montpetit inter. Ouest","Côte-des-Neiges - Notre-Dame-de-Grâce",294278.53,5038437
96,"Décarie","Ferrier inter. Est","Côte-des-Neiges - Notre-Dame-de-Grâce",292477.7,5039755.5
97,"Décarie","Ferrier inter. Ouest","Côte-des-Neiges - Notre-Dame-de-Grâce",292436.66,5039710
98,"Décarie","Isabella inter. Est","Côte-des-Neiges - Notre-Dame-de-Grâce",294463.5,5038380
99,"Décarie","Isabella inter. Ouest","Côte-des-Neiges - Notre-Dame-de-Grâce",294443.03,5038343.5
100,"Décarie","Jean-Talon inter.Est(desJockey","Côte-des-Neiges - Notre-Dame-de-Grâce",292855.06,5039425
101,"Décarie","Jean-Talon interOuest(Jockey)","Côte-des-Neiges - Notre-Dame-de-Grâce",292810.8,5039374
102,"Décarie","Snowdon inter. Est","Côte-des-Neiges - Notre-Dame-de-Grâce",294905.25,5038097
103,"Décarie","Snowdon inter. Ouest","Côte-des-Neiges - Notre-Dame-de-Grâce",294873.7,5038067
104,"Décarie","Paré inter. Est","Côte-des-Neiges - Notre-Dame-de-Grâce",292655.16,5039591
105,"Décarie","Paré inter. Ouest","Côte-des-Neiges - Notre-Dame-de-Grâce",292618.56,5039547.5
106,"Décarie","Plamondon inter. Est","Côte-des-Neiges - Notre-Dame-de-Grâce",293447.06,5039028
107,"Décarie","Plamondon inter. Ouest","Côte-des-Neiges - Notre-Dame-de-Grâce",293428.03,5038990.5
108,"Décarie","Queen-Mary inter. Est","Côte-des-Neiges - Notre-Dame-de-Grâce",294716.44,5038217
109,"Décarie","Queen-Mary inter. Ouest","Côte-des-Neiges - Notre-Dame-de-Grâce",294697.34,5038182.5
110,"Décarie","Royalmount/Savane inter. Est","Côte-des-Neiges - Notre-Dame-de-Grâce",292290.72,5039923
111,"Décarie","Royalmount/Savanne int. Ouest","Côte-des-Neiges - Notre-Dame-de-Grâce",292241.34,5039887
112,"Décarie","Van Horne inter. Est","Côte-des-Neiges - Notre-Dame-de-Grâce",293689.62,5038873
113,"Décarie","Van Horne inter. Ouest","Côte-des-Neiges - Notre-Dame-de-Grâce",293672.25,5038834
114,"Décarie","Vézina inter. Est","Côte-des-Neiges - Notre-Dame-de-Grâce",293261.22,5039146.5
115,"Décarie","Vézina inter. Ouest","Côte-des-Neiges - Notre-Dame-de-Grâce",293221.94,5039112
116,"Earnscliffe","Queen-Mary","Côte-des-Neiges - Notre-Dame-de-Grâce",294589.86,5038013.14
117,"Ferrier","Mountain Sights","Côte-des-Neiges - Notre-Dame-de-Grâce",292593.82,5039885.14
118,"Girouard","Terrebonne","Côte-des-Neiges - Notre-Dame-de-Grâce",295037.59,5037608.98
119,"Grosvenor","Queen-Mary","Côte-des-Neiges - Notre-Dame-de-Grâce",295090.88,5038820.61
120,"Jean-Talon","Mountain Sights","Côte-des-Neiges - Notre-Dame-de-Grâce",292966.09,5039549.52
121,"Lemieux / Ponsard","Queen-Mary","Côte-des-Neiges - Notre-Dame-de-Grâce",294929.25,5038569.69
122,"MacDonald","Queen-Mary","Côte-des-Neiges - Notre-Dame-de-Grâce",294476.47,5037837.17
123,"MacDonald","Van Horne","Côte-des-Neiges - Notre-Dame-de-Grâce",293458.7,5038496.68
124,"Mountain Sights","Paré","Côte-des-Neiges - Notre-Dame-de-Grâce",292774.53,5039725.34
125,"Mountain Sights","Savane","Côte-des-Neiges - Notre-Dame-de-Grâce",292488.51,5039967.7
126,"Queen-Mary","Roslyn","Côte-des-Neiges - Notre-Dame-de-Grâce",295131.51,5038884.5
127,"Queen-Mary","Victoria","Côte-des-Neiges - Notre-Dame-de-Grâce",295045.81,5038752.25
128,"Queen-Mary","Westbury","Côte-des-Neiges - Notre-Dame-de-Grâce",294808.61,5038376.77
129,"57 e Avenue","Henri-Bourassa Est","Rivières-des-Prairies - Pointe-aux-Trembles",300471.34,5055856.03
130,"Barclay","Côte-des-Neiges","Côte-des-Neiges - Notre-Dame-de-Grâce",294192.55,5040290.19
131,"Barclay","Darlington","Côte-des-Neiges - Notre-Dame-de-Grâce",294669.75,5041030.28
132,"Hutchison","Ogilvy","Villeray - Saint-Michel - Parc-Extension",295068.11,5043372.57
133,"Barclay","Hudson","Côte-des-Neiges - Notre-Dame-de-Grâce",294498.96,5040798.67
134,"Barclay","Westbury","Côte-des-Neiges - Notre-Dame-de-Grâce",293543.2,5039231.3
135,"Barclay","Victoria","Côte-des-Neiges - Notre-Dame-de-Grâce",293743.88,5039581.45
136,"Barclay","Wilderton","Côte-des-Neiges - Notre-Dame-de-Grâce",294890.27,5041378.7
137,"Bedford","Côte-des-Neiges","Côte-des-Neiges - Notre-Dame-de-Grâce",294036.86,5040390.55
138,"Gosford","Notre-Dame/Saint-Claude","Ville-Marie",300632,5041020
139,"Bourret","Victoria","Côte-des-Neiges - Notre-Dame-de-Grâce",294265.09,5039251.59
140,"Queen","Wellington","Ville-Marie",300469.23,5039749.12
141,"Côte-des-Neiges","Decelles","Côte-des-Neiges - Notre-Dame-de-Grâce",295763.73,5039503.81
142,"Côte-des-Neiges","Edouard-Montpetit","Côte-des-Neiges - Notre-Dame-de-Grâce",295084.66,5039709.05
143,"Côte-des-Neiges","Forest Hill","Côte-des-Neiges - Notre-Dame-de-Grâce",296414.52,5039519.63
144,"Côte-des-Neiges","Jean-Brillant","Côte-des-Neiges - Notre-Dame-de-Grâce",295285.26,5039581.05
145,"Côte-des-Neiges","Lacombe","Côte-des-Neiges - Notre-Dame-de-Grâce",295157.36,5039662.55
146,"Côte-des-Neiges","La Peltrie","Côte-des-Neiges - Notre-Dame-de-Grâce",294637.84,5040004.9
147,"Côte-des-Neiges","Linton","Côte-des-Neiges - Notre-Dame-de-Grâce",294564.87,5040052.12
148,"Appleton","Côte-des-Neiges/Plamondon","Côte-des-Neiges - Notre-Dame-de-Grâce",294256.25,5040250
149,"Côte-des-Neiges","Queen-Mary","Côte-des-Neiges - Notre-Dame-de-Grâce",295496.61,5039462.11
150,"Côte-des-Neiges","Ridgewood","Côte-des-Neiges - Notre-Dame-de-Grâce",296179.53,5039546.69
151,"Côte-des-Neiges","Saint-Kevin","Côte-des-Neiges - Notre-Dame-de-Grâce",295010.96,5039755.55
152,"Côte-des-Neiges","Van Horne","Côte-des-Neiges - Notre-Dame-de-Grâce",294469.79,5040112.34
153,"Côte-Sainte-Catherine","Darlington","Côte-des-Neiges - Notre-Dame-de-Grâce",295322.25,5040624.05
154,"Côte-Sainte-Catherine","Decelles","Côte-des-Neiges - Notre-Dame-de-Grâce",294981,5040089.92
155,"Côte-Sainte-Catherine","Hôpital Sainte-Justine","Côte-des-Neiges - Notre-Dame-de-Grâce",295119.66,5040307.5
156,"Côte-Sainte-Catherine","Hudson","Côte-des-Neiges - Notre-Dame-de-Grâce",295216.87,5040460.21
157,"Côte-Sainte-Catherine","Lavoie","Côte-des-Neiges - Notre-Dame-de-Grâce",294536.46,5039389.54
158,"Côte-Sainte-Catherine","Légaré","Côte-des-Neiges - Notre-Dame-de-Grâce",294677.46,5039613.54
159,"Côte-Sainte-Catherine","Lemieux","Côte-des-Neiges - Notre-Dame-de-Grâce",294278.77,5038983.04
160,"Côte-Sainte-Catherine","Victoria","Côte-des-Neiges - Notre-Dame-de-Grâce",294394.27,5039167.04
161,"Côte-Sainte-Catherine","Westbury","Côte-des-Neiges - Notre-Dame-de-Grâce",294184.44,5038820.48
162,"Côte-Sainte-Catherine","Wilderton","Côte-des-Neiges - Notre-Dame-de-Grâce",295504.75,5040910.06
163,"Darlington","Van Horne","Côte-des-Neiges - Notre-Dame-de-Grâce",294989.38,5040890.42
164,"Decelles","Edouard-Montpetit","Côte-des-Neiges - Notre-Dame-de-Grâce",295226.05,5039934.68
165,"Decelles","Jean-Brillant","Côte-des-Neiges - Notre-Dame-de-Grâce",295422.14,5039778.8
166,"Decelles","Lacombe","Côte-des-Neiges - Notre-Dame-de-Grâce",295295.66,5039882.05
167,"Decelles","Linton","Côte-des-Neiges - Notre-Dame-de-Grâce",294680.29,5040283.58
168,"Decelles","Queen-Mary","Côte-des-Neiges - Notre-Dame-de-Grâce",295609.72,5039645.71
169,"Decelles","Van Horne","Côte-des-Neiges - Notre-Dame-de-Grâce",294605.86,5040333.55
170,"Dieppe","Jean-Talon","Côte-des-Neiges - Notre-Dame-de-Grâce",294076,5040924.5
171,"Edouard-Montpetit","Louis-Colin","Côte-des-Neiges - Notre-Dame-de-Grâce",295511.88,5040378
172,"Edouard-Montpetit","Stirling","Côte-des-Neiges - Notre-Dame-de-Grâce",295797.55,5040825.56
173,"Edouard-Montpetit","Victoria","Côte-des-Neiges - Notre-Dame-de-Grâce",294642.27,5039010.92
174,"Hudson","Van Horne","Côte-des-Neiges - Notre-Dame-de-Grâce",294776.75,5040628.05
175,"Jean-Talon","Parc","Villeray - Saint-Michel - Parc-Extension",295243.98,5043364.18
176,"Jean-Talon","Savane","Côte-des-Neiges - Notre-Dame-de-Grâce",293343.26,5040072.54
177,"Jean-Talon","Victoria","Côte-des-Neiges - Notre-Dame-de-Grâce",293234.66,5039904.07
178,"Kindersley","Savane","Côte-des-Neiges - Notre-Dame-de-Grâce",293034.87,5040083.46
179,"Lacombe","Victoria","Côte-des-Neiges - Notre-Dame-de-Grâce",294716.17,5038963.54
180,"La Peltrie","Victoria","Côte-des-Neiges - Notre-Dame-de-Grâce",294191.53,5039296.35
181,"Lavoie","Van Horne","Côte-des-Neiges - Notre-Dame-de-Grâce",294184.85,5039613.88
182,"Légaré","Van Horne","Côte-des-Neiges - Notre-Dame-de-Grâce",294325.53,5039838.92
183,"Lemieux","Van Horne","Côte-des-Neiges - Notre-Dame-de-Grâce",293926.34,5039206.33
184,"Mackenzie","Victoria","Côte-des-Neiges - Notre-Dame-de-Grâce",293519.94,5039724.65
185,"Boisé / Northcrest","Van Horne","Côte-des-Neiges - Notre-Dame-de-Grâce",295196.92,5041290.88
186,"Queen-Mary","Face au 3800 (Oratoire)","Côte-des-Neiges - Notre-Dame-de-Grâce",295404.7,5039315.5
187,"Plamondon","Victoria","Côte-des-Neiges - Notre-Dame-de-Grâce",293816.12,5039535.65
188,"Saint-Kevin","Victoria","Côte-des-Neiges - Notre-Dame-de-Grâce",294571.37,5039055.83
189,"Savane","Victoria","Côte-des-Neiges - Notre-Dame-de-Grâce",293114.46,5040099.51
190,"Van Horne","Victoria","Côte-des-Neiges - Notre-Dame-de-Grâce",294043.9,5039391.63
191,"Van Horne","Vimy","Côte-des-Neiges - Notre-Dame-de-Grâce",295342.34,5041521.86
192,"Van Horne","Westbury","Côte-des-Neiges - Notre-Dame-de-Grâce",293819.27,5039054.54
193,"Van Horne","Wilderton","Côte-des-Neiges - Notre-Dame-de-Grâce",295105.59,5041110.65
194,"Vézina","Victoria","Côte-des-Neiges - Notre-Dame-de-Grâce",293599.57,5039675.89
195,"Crémazie","Michel-Jurdant","Villeray - Saint-Michel - Parc-Extension",295743.95,5046404.93
196,"Allard","La Vérendrye","Sud-Ouest",298043.23,5034598.65
197,"Angers","Église","Sud-Ouest",298182.4,5035961.08
198,"Angers","Jolicoeur","Sud-Ouest",298140.74,5035250.21
199,"Desmarchais","Laurendeau","Sud-Ouest",297872.55,5035066.79
200,"Dante","Saint-Laurent","Rosemont - Petite-Patrie",295900.91,5043647.58
201,"Drake","Église","Sud-Ouest",298413.75,5035947.47
202,"Drake","Jolicoeur","Sud-Ouest",298368.67,5035239.05
203,"Eadie","Église","Sud-Ouest",297765.38,5035987.15
204,"Église","Hadley","Sud-Ouest",297579.27,5035998.7
205,"Église","Laurendeau","Sud-Ouest",297929.49,5035977.01
206,"Église","La Vérendrye","Sud-Ouest",298465.42,5035945.38
207,"Église","Saint-Patrick","Sud-Ouest",297350.68,5036085.01
208,"Galt","La Vérendrye","Sud-Ouest",298463.83,5035847.37
209,"Jacques-Hertel","Laurendeau","Sud-Ouest",297898.59,5035494.06
210,"Jolicoeur","Laurendeau","Sud-Ouest",297883.24,5035262.08
211,"Jolicoeur","La Vérendrye","Sud-Ouest",298458.63,5035234.2
212,"Laurendeau","Le Caron","Sud-Ouest",297916.69,5035782.26
213,"La Vérendrye","Parc Angrignon","Sud-Ouest",297277.63,5033504.31
214,"La Vérendrye","Pont Stephens","Sud-Ouest",297681.94,5034123.57
216,"La Vérendrye","Woodland","Sud-Ouest",298263.27,5034818.15
217,"Monk","Saint-Patrick","Sud-Ouest",297163.09,5035882.51
218,"Atwater","Delisle","Sud-Ouest",298646.76,5038060.43
219,"Atwater","Notre-Dame","Sud-Ouest",298703.82,5037925.76
220,"Atwater","Saint-Antoine","Sud-Ouest",298493.42,5038407.82
221,"Atwater","Saint-Jacques","Sud-Ouest",298581.42,5038212.55
222,"Atwater","Duvernay/Atwater stationnement","Sud-Ouest",298757.62,5037858
223,"Fullum (Chute à neige)","Notre-Dame","Ville-Marie",301250.66,5042928.5
224,"Côte-Saint-Paul","Notre-Dame","Sud-Ouest",297502.78,5036604.17
225,"Courcelle","Notre-Dame","Sud-Ouest",297859.79,5036983.13
226,"Courcelle","Saint-Antoine/Saint-Jacques","Sud-Ouest",297453.6,5037254
227,"Couvent","Saint-Antoine","Sud-Ouest",297943.12,5037745.68
228,"Couvent","Saint-Jacques","Sud-Ouest",298151.58,5037603.54
229,"Louis-Hippolyte-La Fontaine","Maurice-Duplessis côté Est","Rivières-des-Prairies - Pointe-aux-Trembles",296701.78,5053664.5
230,"Notre-Dame","Sir-Georges-Étienne-Cartier","Sud-Ouest",297947.8,5037121.28
231,"Georges-Vanier","Saint-Antoine","Sud-Ouest",298792.15,5038772.28
232,"Georges-Vanier","Saint-Jacques","Sud-Ouest",298997.82,5038568.68
233,"Greene","Saint-Jacques","Sud-Ouest",298435.19,5038087.88
234,"Greene","Saint-Antoine","Sud-Ouest",298296.43,5038213.3
235,"Guy","Notre-Dame","Sud-Ouest",299548.1,5038910.49
236,"Guy","Ottawa/William","Sud-Ouest",299706.65,5038803.66
237,"Guy","Saint-Antoine","Sud-Ouest",299150.25,5039181.48
238,"Lenoir","Saint-Antoine","Sud-Ouest",297637.18,5037373.04
239,"Lenoir","Saint-Jacques","Sud-Ouest",297713.07,5037317.57
240,"Montagne","Notre-Dame","Ville-Marie",299737.44,5039225.49
241,"Montagne","Ottawa","Sud-Ouest",300039.19,5039127.24
242,"Montagne","William","Sud-Ouest",299873.2,5039151.36
243,"Notre-Dame","Rose-de-Lima","Sud-Ouest",298509.14,5037774.83
244,"Notre-Dame","Saint-Henri (pl)","Sud-Ouest",298169.48,5037499.04
245,"Notre-Dame","Sainte-Marguerite","Sud-Ouest",298044.47,5037273.96
246,"Notre-Dame","Saint-Rémi","Sud-Ouest",297698.65,5036739.13
247,"Notre-Dame","Seigneurs","Sud-Ouest",299410.57,5038643.05
248,"Notre-Dame","Vinet","Sud-Ouest",298980.89,5038166.34
249,"Rose-de-Lima","Saint-Antoine","Sud-Ouest",298145.37,5038037.64
250,"Rose-de-Lima","Saint-Jacques","Sud-Ouest",298313.97,5037925.04
251,"Saint-Ambroise","Saint-Rémi","Sud-Ouest",297866.18,5036619.28
252,"Saint-Antoine","Saint-Ferdinand","Sud-Ouest",297815.78,5037590.04
253,"Saint-Antoine","Sainte-Marguerite","Sud-Ouest",297731.52,5037487.32
254,"Saint-Ferdinand","Saint-Jacques","Sud-Ouest",297989.62,5037474
255,"Sainte-Marguerite","Saint-Jacques","Sud-Ouest",297840.68,5037394.64
256,"Saint-Jacques","Saint-Rémi","Côte-des-Neiges - Notre-Dame-de-Grâce",297206.26,5037096.74
257,"Saint-Jacques","Seigneurs","Sud-Ouest",299164.67,5038806.67
258,"Saint-Jacques","Vinet","Sud-Ouest",298786.69,5038389.65
259,"Seigneurs","William","Sud-Ouest",299534.37,5038560.55
260,"Bridge","Mill","Sud-Ouest",300711.59,5038547.77
261,"Bridge","Saint-Patrick","Sud-Ouest",300143.76,5038623.9
262,"Bridge","Wellington","Sud-Ouest",300318.94,5038601.69
263,"Centre","Wellington","Sud-Ouest",300293.3,5038406.43
264,"Charlevoix","Saint-Patrick","Sud-Ouest",299193.91,5037763.07
265,"Saint-Patrick","Seigneurs","Sud-Ouest",299722.73,5038261.86
266,"Cedar","Côte-des-Neiges","Ville-Marie",297625.03,5039457.5
267,"Cedar","Côte-des-Neiges (diag. s-o)","Ville-Marie",297630.06,5039428
268,"Louis-Hippolyte-La Fontaine","Perras","Rivières-des-Prairies - Pointe-aux-Trembles",296124.8,5054450.5
269,"Côte-des-Neiges","Docteur-Penfield (int. n-o)","Ville-Marie",297795.69,5039464.5
270,"Côte-des-Neiges","Docteur-Penfield (int. n-e)","Ville-Marie",297783.62,5039486.5
271,"Côte-des-Neiges","Docteur-Penfield (int. sud)","Ville-Marie",298026.53,5039609.5
272,"Côte-des-Neiges","Gage/Hill Park Circle","Ville-Marie",297078.72,5039509.58
273,"Côte-des-Neiges","Summerhill","Ville-Marie",298216.35,5039611.12
274,"Côte-des-Neiges","The Boulevard","Ville-Marie",297288.22,5039498.19
275,"McDougall","The Boulevard","Ville-Marie",297262.29,5039447.86
276,"Docteur-Penfield","Montagne","Ville-Marie",298392.82,5040148.59
277,"Henri-Julien","Mozart","Rosemont - Petite-Patrie",295951.54,5044030.12
278,"Docteur-Penfield","Simpson / McGregor","Ville-Marie",298187.86,5039878.27
279,"Peel","Pins","Ville-Marie",298396.43,5040517.56
